Henvisende kanal,Henvisende medie,Besøgende i webshoppen,Sessioner,"Sessioner, der gennemførte betaling",Dato
office,,1,1,0,02-01-25
haveselskabet,,1,1,0,02-01-25
hotdeals,,1,1,0,02-01-25
qwant,search,1,1,0,02-01-25
klarna,,1,1,0,02-01-25
auxo,,0,0,0,02-01-25
oceanhero,,0,0,0,02-01-25
startsiden,search,0,0,0,02-01-25
newsbreak,,0,0,0,02-01-25
dka3dqtjjog7y,,0,0,0,02-01-25
chatgpt.com,,0,0,0,02-01-25
google,search,6562,7345,108,03-01-25
facebook,social,2025,2345,47,03-01-25
klaviyo,email/sms,298,366,1,03-01-25
instagram,social,180,193,0,03-01-25
bing,search,137,149,1,03-01-25
unattributed,,52,62,0,03-01-25
yahoo!,search,34,38,0,03-01-25
duckduckgo,search,26,28,1,03-01-25
shopify,,24,26,1,03-01-25
ecosia,search,12,14,0,03-01-25
shopify_email,email,6,8,0,03-01-25
qwant,search,4,6,0,03-01-25
youtube,social,5,6,0,03-01-25
onskeskyen,,6,6,0,03-01-25
chatgpt.com,,2,5,0,03-01-25
googlesyndication,,4,5,0,03-01-25
brave,,4,4,0,03-01-25
yandex,search,3,3,0,03-01-25
gmail,email,2,2,0,03-01-25
pinterest,social,2,2,0,03-01-25
syndicatedsearch,,2,2,0,03-01-25
dewit,,1,1,0,03-01-25
linkedin,social,1,1,0,03-01-25
outlook.com,email,1,1,1,03-01-25
startpage,,1,1,0,03-01-25
klarna,,1,1,0,03-01-25
soarinfotech,,1,1,0,03-01-25
chatgpt,,0,0,0,03-01-25
bt,,0,0,0,03-01-25
privacywall,,0,0,0,03-01-25
ighome,,0,0,0,03-01-25
ka-net,,0,0,0,03-01-25
trustpilot,,0,0,0,03-01-25
office,,0,0,0,03-01-25
haveselskabet,,0,0,0,03-01-25
hotdeals,,0,0,0,03-01-25
krak,,0,0,0,03-01-25
google,search,8416,8980,18,04-01-25
facebook,social,2453,2585,6,04-01-25
klaviyo,email/sms,944,1036,1,04-01-25
instagram,social,244,248,1,04-01-25
bing,search,131,137,0,04-01-25
yahoo!,search,34,39,0,04-01-25
unattributed,,35,36,0,04-01-25
duckduckgo,search,27,27,0,04-01-25
shopify,,23,23,0,04-01-25
yandex,search,22,22,0,04-01-25
ecosia,search,15,17,0,04-01-25
dewit,,8,8,0,04-01-25
qwant,search,7,7,0,04-01-25
chatgpt.com,,5,5,0,04-01-25
onskeskyen,,4,5,0,04-01-25
syndicatedsearch,,4,4,0,04-01-25
shopify_email,email,4,4,4,04-01-25
gmail,email,3,3,0,04-01-25
youtube,social,2,2,0,04-01-25
trustpilot,,2,2,0,04-01-25
googlesyndication,,2,2,0,04-01-25
chatgpt,,1,1,0,04-01-25
aol,search,1,1,0,04-01-25
ka-net,,1,1,0,04-01-25
kvikstart,,1,1,0,04-01-25
linkedin,social,0,0,0,04-01-25
pinterest,social,0,0,0,04-01-25
outlook.com,email,0,0,0,04-01-25
startpage,,0,0,0,04-01-25
klarna,,0,0,0,04-01-25
brave,,0,0,0,04-01-25
soarinfotech,,0,0,0,04-01-25
google,search,4949,5368,11,05-01-25
facebook,social,2263,2342,4,05-01-25
klaviyo,email/sms,300,346,18,05-01-25
instagram,social,177,183,1,05-01-25
bing,search,81,83,2,05-01-25
yahoo!,search,26,27,0,05-01-25
yandex,search,16,16,0,05-01-25
shopify,,16,16,2,05-01-25
duckduckgo,search,15,15,0,05-01-25
ecosia,search,9,10,0,05-01-25
unattributed,,8,9,0,05-01-25
syndicatedsearch,,7,7,0,05-01-25
onskeskyen,,5,5,0,05-01-25
shopify_email,email,3,4,0,05-01-25
trustpilot,,3,3,0,05-01-25
force,,3,3,0,05-01-25
chatgpt.com,,2,3,0,05-01-25
qwant,search,3,3,0,05-01-25
ka-net,,2,2,0,05-01-25
dewit,,2,2,0,05-01-25
fremgang,,1,2,0,05-01-25
klarna,,2,2,0,05-01-25
gmail,email,2,2,0,05-01-25
meta,display,1,1,0,05-01-25
youtube,social,1,1,0,05-01-25
chatgpt,,1,1,0,05-01-25
meta,,1,1,0,05-01-25
googlesyndication,,0,0,0,05-01-25
kvikstart,,0,0,0,05-01-25
aol,search,0,0,0,05-01-25
google,search,4369,4821,63,06-01-25
facebook,social,4322,4760,73,06-01-25
klaviyo,email,1509,1943,58,06-01-25
klaviyo,email/sms,531,575,5,06-01-25
instagram,social,338,365,7,06-01-25
bing,search,66,69,1,06-01-25
unattributed,,53,62,1,06-01-25
shopify,,45,47,3,06-01-25
yahoo!,search,18,19,0,06-01-25
yandex,search,17,17,0,06-01-25
youtube,social,14,15,0,06-01-25
shopify_email,email,11,12,2,06-01-25
ecosia,search,11,11,0,06-01-25
duckduckgo,search,11,11,0,06-01-25
syndicatedsearch,,9,10,0,06-01-25
meta,display,9,9,0,06-01-25
googlesyndication,,6,6,0,06-01-25
trustpilot,,4,4,0,06-01-25
gmail,email,2,4,0,06-01-25
chatgpt.com,,3,3,0,06-01-25
qwant,search,3,3,0,06-01-25
meta,,3,3,0,06-01-25
ka-net,email,2,2,0,06-01-25
chatgpt,,2,2,0,06-01-25
inzen,,2,2,0,06-01-25
krak,,1,1,0,06-01-25
onskeskyen,,1,1,0,06-01-25
pinterest,social,1,1,0,06-01-25
pricerunner,,1,1,0,06-01-25
ka-net,,1,1,0,06-01-25
office,,1,1,0,06-01-25
haveselskabet,,1,1,0,06-01-25
hotdeals,,1,1,0,06-01-25
mollyapp,,1,1,0,06-01-25
copyfy,display,1,1,0,06-01-25
vexxed,,1,1,0,06-01-25
billedbladet,,1,1,0,06-01-25
dka3dqtjjog7y,,1,1,0,06-01-25
fremgang,,0,0,0,06-01-25
force,,0,0,0,06-01-25
klarna,,0,0,0,06-01-25
dewit,,0,0,0,06-01-25
google,search,4103,4679,69,07-01-25
facebook,social,3735,4231,86,07-01-25
klaviyo,email,678,827,17,07-01-25
instagram,social,223,252,5,07-01-25
bing,search,73,79,1,07-01-25
unattributed,,59,73,4,07-01-25
klaviyo,email/sms,55,61,1,07-01-25
shopify,,33,34,1,07-01-25
yahoo!,search,19,22,0,07-01-25
shopify_email,email,15,18,0,07-01-25
googlesyndication,,11,15,0,07-01-25
qwant,search,11,14,0,07-01-25
duckduckgo,search,9,9,0,07-01-25
gmail,email,7,8,1,07-01-25
onskeskyen,,4,5,1,07-01-25
chatgpt.com,,4,4,1,07-01-25
meta,,4,4,0,07-01-25
ecosia,search,4,4,0,07-01-25
syndicatedsearch,,4,4,0,07-01-25
meta,display,3,3,0,07-01-25
youtube,social,2,2,0,07-01-25
ya,,2,2,0,07-01-25
privacywall,,1,1,0,07-01-25
ka-net,email,1,1,0,07-01-25
perplexity,,1,1,0,07-01-25
yandex,search,1,1,0,07-01-25
promocodie,,1,1,0,07-01-25
messenger,social,1,1,0,07-01-25
auxo,,1,1,0,07-01-25
bcbaebafe_dbeg,email,1,1,0,07-01-25
baciakte,,1,1,0,07-01-25
trustpilot,,1,1,0,07-01-25
ka-net,,0,0,0,07-01-25
chatgpt,,0,0,0,07-01-25
inzen,,0,0,0,07-01-25
office,,0,0,0,07-01-25
pinterest,social,0,0,0,07-01-25
haveselskabet,,0,0,0,07-01-25
pricerunner,,0,0,0,07-01-25
hotdeals,,0,0,0,07-01-25
mollyapp,,0,0,0,07-01-25
dka3dqtjjog7y,,0,0,0,07-01-25
copyfy,display,0,0,0,07-01-25
vexxed,,0,0,0,07-01-25
billedbladet,,0,0,0,07-01-25
krak,,0,0,0,07-01-25
google,search,5637,6551,136,08-01-25
facebook,social,4132,4734,114,08-01-25
klaviyo,email,1161,1629,72,08-01-25
instagram,social,774,835,15,08-01-25
bing,search,138,162,1,08-01-25
unattributed,,79,91,4,08-01-25
klaviyo,email/sms,59,63,3,08-01-25
shopify,,58,61,2,08-01-25
yahoo!,search,35,40,1,08-01-25
googlesyndication,,16,36,0,08-01-25
qwant,search,10,27,0,08-01-25
duckduckgo,search,26,27,0,08-01-25
ecosia,search,11,14,0,08-01-25
onskeskyen,,12,13,1,08-01-25
ka-net,email,4,9,0,08-01-25
shopify_email,email,7,8,0,08-01-25
syndicatedsearch,,7,7,0,08-01-25
fyens,,1,3,0,08-01-25
gmail,email,3,3,1,08-01-25
bt,,1,3,0,08-01-25
chatgpt.com,,2,2,0,08-01-25
winninghunter,display,2,2,0,08-01-25
dewit,,2,2,0,08-01-25
meta,display,2,2,0,08-01-25
brave,,2,2,0,08-01-25
meta,,2,2,0,08-01-25
mangools,,1,1,0,08-01-25
chatgpt,,1,1,0,08-01-25
deref-mail,email,1,1,0,08-01-25
privacywall,,1,1,0,08-01-25
jv,,1,1,0,08-01-25
dukamail,email,1,1,0,08-01-25
weather,,1,1,0,08-01-25
yandex,search,1,1,0,08-01-25
youtube,social,1,1,0,08-01-25
trustpilot,,1,1,0,08-01-25
berlingske,,1,1,0,08-01-25
abcnyheter,,1,1,0,08-01-25
promocodie,,0,0,0,08-01-25
messenger,social,0,0,0,08-01-25
baciakte,,0,0,0,08-01-25
bcbaebafe_dbeg,email,0,0,0,08-01-25
ya,,0,0,0,08-01-25
auxo,,0,0,0,08-01-25
perplexity,,0,0,0,08-01-25
google,search,7884,8547,43,09-01-25
facebook,social,5071,5492,37,09-01-25
klaviyo,email,834,933,7,09-01-25
instagram,social,733,771,7,09-01-25
bing,search,193,200,1,09-01-25
shopify,,130,133,1,09-01-25
unattributed,,96,103,0,09-01-25
klaviyo,email/sms,72,80,0,09-01-25
googlesyndication,,52,69,0,09-01-25
yahoo!,search,60,64,0,09-01-25
duckduckgo,search,20,20,0,09-01-25
ecosia,search,13,14,0,09-01-25
shopify_email,email,12,14,0,09-01-25
qwant,search,11,12,0,09-01-25
chatgpt.com,,10,10,0,09-01-25
shop_app,,4,7,0,09-01-25
gmail,email,5,5,1,09-01-25
syndicatedsearch,,5,5,0,09-01-25
office,,4,4,0,09-01-25
onskeskyen,,3,4,0,09-01-25
startpage,,3,3,0,09-01-25
ka-net,email,2,2,0,09-01-25
yandex,search,1,2,0,09-01-25
brave,,2,2,0,09-01-25
bt,,2,2,0,09-01-25
chatgpt,,2,2,0,09-01-25
phimarshcer,,1,1,0,09-01-25
internalfb,,1,1,0,09-01-25
berlingske,,1,1,0,09-01-25
privacywall,,1,1,0,09-01-25
ka-net,,1,1,0,09-01-25
kvikstart,,1,1,0,09-01-25
microsoft,,1,1,0,09-01-25
dba,,1,1,0,09-01-25
abcnyheter,,1,1,0,09-01-25
youtube,social,1,1,0,09-01-25
presse-fotos,,1,1,0,09-01-25
nyheder24,,1,1,0,09-01-25
mangools,,0,0,0,09-01-25
winninghunter,display,0,0,0,09-01-25
dukamail,email,0,0,0,09-01-25
deref-mail,email,0,0,0,09-01-25
dewit,,0,0,0,09-01-25
meta,,0,0,0,09-01-25
meta,display,0,0,0,09-01-25
weather,,0,0,0,09-01-25
jv,,0,0,0,09-01-25
fyens,,0,0,0,09-01-25
trustpilot,,0,0,0,09-01-25
google,search,7060,7600,17,10-01-25
facebook,social,3619,3910,3,10-01-25
klaviyo,email,1705,1835,8,10-01-25
instagram,social,476,498,0,10-01-25
klaviyo,email/sms,339,352,0,10-01-25
bing,search,230,238,1,10-01-25
yahoo!,search,71,78,0,10-01-25
shopify,,57,57,0,10-01-25
unattributed,,45,46,0,10-01-25
duckduckgo,search,33,33,0,10-01-25
ecosia,search,19,26,0,10-01-25
googlesyndication,,16,25,0,10-01-25
shop_app,,22,24,0,10-01-25
shopify_email,email,19,20,2,10-01-25
gmail,email,9,9,0,10-01-25
ka-net,email,8,9,0,10-01-25
qwant,search,7,8,0,10-01-25
trustpilot,,8,8,0,10-01-25
chatgpt.com,,7,7,0,10-01-25
onskeskyen,,6,6,1,10-01-25
syndicatedsearch,,5,5,0,10-01-25
chatgpt,,3,3,0,10-01-25
yandex,search,3,3,0,10-01-25
microsoft,,3,3,0,10-01-25
youtube,social,2,2,0,10-01-25
bt,,2,2,0,10-01-25
mollyapp,,2,2,0,10-01-25
ka-net,,2,2,0,10-01-25
aol,search,1,1,0,10-01-25
eavuinsr,,1,1,0,10-01-25
startpage,,1,1,0,10-01-25
mail.ru,email,1,1,0,10-01-25
presse-fotos,,1,1,0,10-01-25
phimarshcer,,0,0,0,10-01-25
privacywall,,0,0,0,10-01-25
nyheder24,,0,0,0,10-01-25
abcnyheter,,0,0,0,10-01-25
office,,0,0,0,10-01-25
internalfb,,0,0,0,10-01-25
kvikstart,,0,0,0,10-01-25
berlingske,,0,0,0,10-01-25
brave,,0,0,0,10-01-25
dba,,0,0,0,10-01-25
google,search,5436,5798,22,11-01-25
facebook,social,4385,4684,9,11-01-25
klaviyo,email,1488,1562,4,11-01-25
instagram,social,603,638,0,11-01-25
klaviyo,email/sms,255,259,0,11-01-25
bing,search,143,147,0,11-01-25
unattributed,,56,60,0,11-01-25
shopify,,57,58,1,11-01-25
løgbutikken,,29,29,0,11-01-25
googlesyndication,,21,28,0,11-01-25
yahoo!,search,25,25,0,11-01-25
duckduckgo,search,23,23,1,11-01-25
shopify_email,email,13,13,5,11-01-25
ecosia,search,11,11,0,11-01-25
syndicatedsearch,,8,8,0,11-01-25
chatgpt.com,,7,7,0,11-01-25
trustpilot,,5,5,0,11-01-25
chatgpt,,4,4,0,11-01-25
onskeskyen,,4,4,0,11-01-25
ka-net,email,1,3,0,11-01-25
yandex,search,2,2,0,11-01-25
bt,,1,1,0,11-01-25
inputmag,,1,1,0,11-01-25
office,,1,1,0,11-01-25
jammerbugtposten,,1,1,0,11-01-25
mail.ru,email,1,1,0,11-01-25
avastbrowser,,1,1,0,11-01-25
qwant,search,1,1,0,11-01-25
snapchat,social,1,1,0,11-01-25
ratraiser,,1,1,0,11-01-25
gmail,email,0,0,0,11-01-25
startpage,,0,0,0,11-01-25
shop_app,,0,0,0,11-01-25
mollyapp,,0,0,0,11-01-25
youtube,social,0,0,0,11-01-25
presse-fotos,,0,0,0,11-01-25
ka-net,,0,0,0,11-01-25
microsoft,,0,0,0,11-01-25
